percent,ankle,knee,hip
0,15.088,14.520,14.518
2,14.141,15.580,14.524
4,10.741,15.392,14.410
6,9.449,14.697,15.429
8,5.929,15.149,13.993
10,5.191,15.677,13.341
12,1.610,15.525,13.064
14,0.062,13.663,11.010
16,-3.352,12.326,10.411
18,-6.886,12.295,8.052
20,-8.912,9.782,6.498
22,-9.588,8.081,5.675
24,-12.433,7.544,3.368
26,-13.590,6.078,2.522
28,-16.596,4.811,0.981
30,-16.792,2.458,-1.715
32,-18.002,0.468,-3.605
34,-19.968,-1.074,-4.419
36,-18.940,-2.754,-5.233
38,-18.846,-4.228,-6.507
40,-19.160,-7.175,-9.170
42,-19.071,-8.481,-9.549
44,-18.566,-8.884,-11.151
46,-16.963,-10.496,-11.546
48,-16.156,-11.981,-11.981
50,-14.441,-12.382,-12.162
52,-10.946,-13.425,-13.178
54,-8.956,-14.417,-13.329
56,-6.410,-13.388,-13.454
58,-4.201,-12.772,-11.278
60,-2.016,-13.339,-11.681
62,0.997,-12.679,-11.593
64,3.489,-11.859,-10.271
66,5.158,-10.203,-8.649
68,8.046,-9.258,-7.192
70,10.639,-8.563,-4.896
72,13.483,-7.587,-4.731
74,15.491,-6.049,-2.901
76,16.696,-4.470,-0.134
78,18.793,-1.274,0.969
80,18.736,0.517,2.209
82,20.692,0.886,5.411
84,20.339,3.267,6.828
86,21.973,4.952,8.021
88,20.928,6.895,9.246
90,20.545,9.404,10.416
92,21.742,10.293,11.872
94,20.619,10.825,13.858
96,19.655,13.069,12.970
98,16.509,13.596,14.779
100,14.823,14.974,15.305
