percent,ankle,knee,hip
0,10.200,17.375,19.776
2,9.789,18.610,18.838
4,8.171,20.712,17.745
6,8.227,20.459,15.312
8,5.345,21.265,12.144
10,4.104,23.148,9.827
12,3.037,22.562,8.085
14,2.026,21.113,4.972
16,1.428,21.246,0.764
18,0.288,20.485,-1.331
20,-2.593,18.996,-4.220
22,-3.357,18.416,-7.584
24,-4.992,16.792,-9.097
26,-4.414,14.536,-11.595
28,-6.345,12.522,-15.047
30,-6.292,9.620,-16.815
32,-7.966,6.601,-17.923
34,-8.603,3.446,-18.396
36,-9.077,1.835,-21.203
38,-8.852,-1.529,-20.935
40,-10.358,-4.529,-20.748
42,-9.388,-6.266,-22.230
44,-9.260,-9.196,-22.245
46,-9.793,-10.277,-21.595
48,-8.081,-13.235,-20.065
50,-8.343,-14.483,-18.811
52,-8.218,-15.803,-17.356
54,-5.936,-18.390,-15.263
56,-5.163,-18.304,-12.379
58,-3.611,-19.027,-10.930
60,-2.901,-20.840,-8.496
62,-2.039,-20.894,-5.453
64,-1.075,-20.623,-2.741
66,0.773,-18.859,1.064
68,1.559,-19.090,3.492
70,2.743,-17.879,6.706
72,4.467,-14.642,8.435
74,5.603,-13.966,12.080
76,6.826,-10.834,12.840
78,8.692,-10.267,16.926
80,9.736,-7.867,17.581
82,9.263,-4.612,20.158
84,11.083,-2.464,21.384
86,12.090,0.151,23.107
88,10.878,2.501,22.720
90,11.358,6.634,24.587
92,11.366,7.463,23.994
94,10.839,10.075,22.869
96,11.957,12.954,23.625
98,10.503,15.962,22.701
100,9.279,16.344,21.314
