percent,ankle,knee,hip
0,11.981,22.509,20.126
2,13.236,21.120,23.055
4,12.777,21.525,25.019
6,12.976,18.966,25.760
8,13.537,17.775,27.872
10,12.268,14.765,29.144
12,10.920,13.017,29.844
14,11.916,11.420,30.432
16,10.879,8.437,28.519
18,8.935,4.842,27.739
20,8.828,3.347,28.068
22,7.520,0.833,26.083
24,4.359,-2.730,22.853
26,3.209,-4.272,21.763
28,1.674,-7.514,18.252
30,0.199,-10.794,16.046
32,0.117,-12.062,11.533
34,-1.857,-14.449,9.673
36,-3.394,-17.006,5.790
38,-4.094,-17.098,1.923
40,-6.178,-18.892,-1.050
42,-6.485,-21.007,-5.315
44,-8.010,-21.233,-8.159
46,-8.893,-20.178,-11.298
48,-10.474,-20.068,-15.543
50,-9.659,-20.015,-18.306
52,-9.811,-18.789,-21.552
54,-10.940,-18.484,-23.429
56,-11.203,-17.735,-23.708
58,-11.227,-15.783,-26.812
60,-10.659,-14.382,-27.287
62,-9.594,-12.008,-27.368
64,-8.879,-9.376,-28.291
66,-8.721,-6.446,-26.800
68,-6.876,-4.760,-26.242
70,-6.348,-1.737,-24.915
72,-5.047,0.885,-22.916
74,-2.835,4.930,-22.426
76,-1.139,7.216,-18.357
78,-0.715,8.847,-15.922
80,0.834,12.135,-12.877
82,2.129,15.446,-9.748
84,4.536,16.909,-6.766
86,5.353,17.635,-2.549
88,7.562,20.394,1.304
90,8.909,21.754,4.823
92,9.717,21.806,6.586
94,10.612,22.477,10.093
96,11.246,23.151,13.869
98,12.502,23.190,16.361
100,12.105,22.578,19.256
