percent,ankle,knee,hip
0,9.944,27.186,9.775
2,8.024,26.711,11.052
4,6.435,28.256,14.662
6,5.623,27.797,16.512
8,3.430,27.874,18.348
10,1.466,25.083,20.693
12,-1.180,24.102,20.775
14,-1.414,23.523,22.014
16,-3.141,20.566,22.096
18,-5.186,19.633,22.876
20,-6.834,15.372,22.948
22,-7.720,14.198,23.893
24,-10.058,9.823,22.455
26,-9.958,6.103,21.179
28,-12.008,3.605,20.796
30,-11.500,0.689,18.725
32,-13.005,-2.041,15.954
34,-12.350,-5.147,14.547
36,-13.942,-8.461,12.073
38,-13.135,-11.448,10.375
40,-12.374,-14.879,6.462
42,-12.345,-18.244,3.795
44,-11.545,-19.120,1.709
46,-11.327,-20.864,-2.283
48,-8.844,-23.358,-4.487
50,-7.620,-23.720,-6.952
52,-7.151,-24.999,-9.657
54,-4.708,-25.603,-11.928
56,-2.825,-25.811,-13.895
58,-0.778,-25.539,-16.573
60,0.455,-24.684,-18.190
62,1.572,-22.957,-19.143
64,3.529,-21.173,-20.408
66,5.055,-19.247,-20.725
68,8.446,-16.421,-21.122
70,8.059,-14.372,-20.481
72,10.258,-11.921,-20.226
74,12.412,-8.757,-20.500
76,11.966,-4.587,-18.580
78,13.096,-2.405,-17.484
80,14.599,1.244,-15.477
82,14.616,4.470,-14.032
84,15.375,8.247,-12.252
86,14.582,11.840,-10.244
88,14.471,15.165,-7.583
90,14.623,17.139,-4.156
92,13.770,19.195,-1.080
94,13.194,21.073,1.292
96,12.873,23.559,3.490
98,11.570,24.918,6.381
100,9.447,25.980,8.234
