percent,ankle,knee,hip
0,24.241,12.391,21.279
2,24.912,11.490,22.864
4,25.068,9.669,22.977
6,24.917,8.145,22.911
8,24.554,6.994,22.640
10,23.398,5.028,22.776
12,22.673,1.744,21.449
14,21.537,-0.473,19.372
16,19.737,-2.912,18.545
18,17.884,-4.865,15.863
20,14.574,-6.538,14.551
22,11.257,-8.198,11.914
24,10.009,-10.772,10.666
26,7.132,-11.419,6.839
28,4.013,-12.818,4.412
30,-0.960,-14.850,1.357
32,-2.386,-15.544,-1.829
34,-5.582,-15.868,-3.483
36,-9.677,-15.409,-5.814
38,-11.956,-16.874,-8.548
40,-13.586,-15.904,-10.157
42,-16.812,-15.878,-12.979
44,-18.347,-15.446,-15.380
46,-19.624,-14.802,-16.921
48,-21.340,-12.185,-18.256
50,-21.916,-11.313,-18.495
52,-23.069,-9.768,-19.455
54,-22.896,-7.721,-20.502
56,-24.248,-6.283,-21.116
58,-23.941,-3.884,-20.454
60,-22.181,-3.054,-19.804
62,-20.273,0.805,-18.299
64,-18.991,2.400,-18.446
66,-16.454,4.348,-15.860
68,-15.132,6.694,-14.497
70,-13.510,9.235,-13.012
72,-10.101,10.822,-10.077
74,-7.340,11.517,-8.339
76,-3.192,13.247,-5.716
78,-0.348,14.254,-2.315
80,1.080,15.502,-0.555
82,4.353,16.623,2.795
84,9.001,16.764,6.031
86,11.269,17.398,7.932
88,13.595,17.811,10.448
90,16.689,18.031,12.514
92,18.738,17.546,14.458
94,20.367,16.649,16.894
96,23.316,15.454,18.105
98,24.278,13.872,21.326
100,25.166,14.128,20.957
