percent,ankle,knee,hip
0,16.306,17.445,26.888
2,19.863,19.396,26.074
4,20.571,21.000,23.748
6,22.715,22.079,21.385
8,24.426,22.699,18.556
10,25.126,22.796,16.311
12,26.818,22.918,13.194
14,26.498,22.386,9.321
16,27.096,20.800,6.609
18,26.322,21.275,1.903
20,25.070,19.000,-0.652
22,24.897,17.396,-4.671
24,22.178,16.397,-8.566
26,20.345,13.859,-10.630
28,17.682,11.885,-14.952
30,15.961,9.818,-16.391
32,12.471,5.691,-18.686
34,10.057,3.351,-21.443
36,7.499,0.715,-22.917
38,4.412,-2.308,-25.755
40,0.349,-4.523,-27.247
42,-2.494,-5.964,-26.220
44,-6.279,-8.251,-27.715
46,-8.332,-11.538,-27.671
48,-11.028,-12.809,-25.706
50,-14.861,-14.794,-25.144
52,-17.677,-16.877,-23.048
54,-19.230,-18.779,-21.659
56,-21.658,-19.836,-20.194
58,-22.235,-19.738,-16.335
60,-24.555,-19.850,-15.096
62,-23.883,-21.226,-10.146
64,-24.275,-20.323,-8.673
66,-25.896,-19.730,-3.585
68,-24.571,-19.189,-1.123
70,-24.188,-18.034,3.194
72,-22.936,-16.372,6.771
74,-20.037,-14.533,9.371
76,-19.778,-11.440,12.387
78,-17.368,-9.171,16.315
80,-14.326,-6.168,19.343
82,-11.136,-3.523,22.031
84,-8.975,-1.570,24.612
86,-4.882,0.945,26.460
88,-1.274,2.820,26.852
90,0.386,6.039,27.750
92,4.523,8.214,29.467
94,6.968,12.101,28.890
96,10.267,12.767,29.719
98,13.243,15.277,28.414
100,15.925,17.443,26.409
