percent,ankle,knee,hip
0,16.507,6.046,19.189
2,16.689,8.842,19.935
4,16.252,12.519,23.163
6,16.425,14.808,24.948
8,14.613,16.094,24.311
10,14.160,19.552,26.400
12,10.944,21.699,26.210
14,9.769,22.314,25.247
16,9.142,22.705,25.597
18,6.693,23.909,24.591
20,5.292,23.410,23.962
22,2.894,24.271,22.386
24,-0.128,23.669,18.947
26,-0.558,23.504,16.909
28,-2.890,22.059,15.302
30,-4.536,20.838,12.362
32,-6.377,18.226,10.279
34,-9.233,16.613,7.142
36,-10.066,14.054,2.764
38,-11.542,12.442,0.266
40,-12.486,9.403,-3.662
42,-13.502,6.719,-5.707
44,-14.589,3.907,-9.289
46,-14.365,1.281,-11.352
48,-14.324,-2.051,-14.225
50,-14.791,-4.063,-16.142
52,-14.907,-7.565,-18.628
54,-13.887,-10.068,-21.553
56,-12.861,-13.400,-21.770
58,-13.034,-14.998,-23.548
60,-12.173,-17.635,-24.042
62,-10.638,-19.485,-24.187
64,-8.535,-20.996,-24.762
66,-7.043,-20.807,-24.497
68,-3.709,-21.336,-22.874
70,-2.453,-22.128,-21.733
72,-1.088,-23.046,-20.372
74,0.866,-22.727,-17.014
76,3.452,-21.474,-15.124
78,5.050,-19.406,-13.425
80,7.673,-19.365,-9.686
82,8.084,-16.415,-7.313
84,11.546,-14.483,-3.809
86,12.844,-12.185,-0.718
88,13.094,-11.068,2.300
90,13.966,-8.592,5.710
92,14.783,-4.065,7.425
94,16.836,-1.882,10.230
96,16.403,0.134,14.171
98,17.891,3.750,16.995
100,16.970,6.076,17.864
