percent,ankle,knee,hip
0,15.701,7.807,13.895
2,16.545,11.074,15.349
4,14.742,16.022,16.563
6,13.915,17.368,16.900
8,12.123,21.816,16.105
10,10.786,23.625,16.704
12,9.412,26.497,17.520
14,9.039,27.516,15.751
16,6.503,28.717,15.870
18,4.839,30.184,16.411
20,1.562,30.715,13.781
22,0.846,29.989,12.468
24,-0.628,29.297,12.442
26,-3.235,28.730,9.560
28,-4.491,27.337,9.495
30,-7.081,26.120,6.976
32,-9.222,23.173,5.788
34,-10.288,19.882,2.019
36,-12.580,18.821,0.028
38,-13.139,15.754,-1.639
40,-12.974,10.988,-3.971
42,-13.448,7.404,-5.982
44,-15.042,4.613,-7.442
46,-14.868,1.520,-8.794
48,-15.450,-2.879,-9.501
50,-14.456,-6.767,-11.277
52,-13.491,-9.022,-12.622
54,-13.745,-13.792,-13.662
56,-12.325,-16.153,-15.198
58,-10.734,-19.070,-13.869
60,-10.135,-22.221,-14.211
62,-7.504,-24.288,-14.318
64,-5.550,-24.628,-14.344
66,-3.731,-26.165,-13.892
68,-3.147,-28.579,-12.959
70,-0.619,-28.386,-13.220
72,0.862,-29.017,-10.760
74,3.002,-27.132,-9.786
76,4.633,-27.348,-8.226
78,6.921,-26.090,-6.145
80,8.638,-24.091,-4.351
82,11.050,-21.557,-3.326
84,12.221,-18.817,-1.803
86,14.031,-16.006,0.976
88,15.575,-12.836,2.405
90,15.993,-9.752,6.146
92,16.362,-6.934,6.890
94,17.433,-3.248,9.735
96,17.969,1.253,9.731
98,17.479,5.781,13.045
100,15.805,8.843,13.040
