percent,ankle,knee,hip
0,14.066,4.399,22.737
2,12.402,5.705,21.469
4,11.539,9.357,20.884
6,10.108,11.232,18.441
8,9.990,12.907,17.157
10,7.398,14.460,15.316
12,4.919,16.227,12.566
14,3.270,17.228,10.365
16,3.059,19.230,8.691
18,0.804,19.585,5.168
20,-1.467,18.976,3.783
22,-3.374,20.412,-0.601
24,-4.681,20.497,-3.637
26,-6.099,19.317,-4.460
28,-7.296,17.702,-7.450
30,-9.986,16.868,-10.775
32,-11.347,16.291,-13.274
34,-11.178,15.293,-15.726
36,-13.222,13.074,-16.083
38,-13.705,11.307,-18.036
40,-12.373,9.376,-18.987
42,-13.828,6.768,-19.977
44,-14.332,5.483,-20.381
46,-13.353,3.477,-21.096
48,-12.178,1.015,-21.661
50,-11.092,-2.616,-20.945
52,-10.620,-3.709,-19.052
54,-8.815,-6.361,-18.024
56,-9.092,-8.384,-17.299
58,-7.555,-10.528,-15.401
60,-5.154,-12.281,-13.737
62,-3.104,-13.270,-10.697
64,-2.239,-14.449,-9.069
66,-0.153,-17.203,-6.727
68,0.684,-16.791,-3.690
70,4.332,-17.990,-0.072
72,4.212,-18.885,1.517
74,5.881,-16.950,5.101
76,8.492,-17.454,8.272
78,9.193,-17.250,9.468
80,10.908,-16.653,12.240
82,11.740,-15.158,14.566
84,12.898,-13.500,17.923
86,13.906,-10.955,19.123
88,15.804,-9.424,19.391
90,15.944,-8.213,22.438
92,16.080,-5.636,22.009
94,15.859,-2.747,23.648
96,15.731,-0.408,23.473
98,14.459,2.260,23.531
100,13.280,3.651,23.220
