percent,ankle,knee,hip
0,12.368,24.670,18.548
2,14.210,26.275,17.684
4,15.307,26.620,16.889
6,16.867,27.144,16.626
8,18.179,26.261,16.520
10,20.971,26.304,15.633
12,20.021,25.131,13.308
14,21.401,23.340,12.058
16,21.565,21.602,11.863
18,21.584,19.682,10.005
20,20.942,16.525,8.356
22,20.724,15.116,4.592
24,19.305,11.211,3.251
26,18.709,8.390,1.128
28,15.408,5.277,-1.772
30,15.044,2.927,-3.680
32,12.661,-0.678,-5.388
34,9.679,-4.078,-7.293
36,7.090,-7.925,-9.263
38,6.248,-10.188,-9.414
40,1.990,-13.286,-10.960
42,0.417,-16.303,-12.592
44,-1.613,-17.579,-13.494
46,-4.009,-20.724,-14.192
48,-7.105,-22.539,-15.700
50,-8.964,-23.504,-16.454
52,-11.518,-24.170,-16.538
54,-13.492,-25.552,-15.862
56,-16.008,-25.679,-14.177
58,-16.326,-25.874,-15.356
60,-17.266,-23.642,-12.959
62,-18.572,-24.126,-12.568
64,-20.303,-21.708,-9.811
66,-18.617,-19.902,-9.401
68,-18.701,-16.981,-7.511
70,-19.107,-14.304,-6.339
72,-19.278,-13.398,-3.207
74,-18.215,-9.551,-1.568
76,-15.986,-6.481,-0.083
78,-14.530,-3.397,3.348
80,-11.717,0.657,5.623
82,-9.510,2.522,7.066
84,-8.482,7.147,7.974
86,-6.645,9.569,9.835
88,-3.931,13.340,11.571
90,0.131,15.961,14.748
92,1.495,19.001,14.749
94,4.088,20.414,16.470
96,6.341,23.414,16.751
98,8.474,24.171,17.733
100,12.385,26.177,18.332
