percent,ankle,knee,hip
0,16.184,12.662,5.683
2,16.070,14.055,9.088
4,14.907,14.671,11.940
6,12.911,16.041,16.200
8,12.636,18.510,17.992
10,9.678,18.073,19.297
12,9.274,19.339,21.868
14,5.799,20.159,24.382
16,4.908,19.702,25.522
18,2.400,19.702,25.658
20,-0.268,19.049,26.204
22,-1.725,17.872,27.838
24,-3.631,17.280,26.362
26,-5.100,16.840,26.286
28,-7.949,15.121,24.992
30,-8.054,12.570,24.541
32,-11.372,10.651,22.142
34,-11.419,7.777,18.764
36,-13.788,5.547,18.051
38,-15.098,2.900,15.554
40,-15.597,0.554,11.324
42,-16.052,-1.540,9.220
44,-15.763,-4.219,4.819
46,-16.365,-6.127,1.684
48,-15.796,-7.240,-1.658
50,-15.364,-9.943,-4.622
52,-13.310,-12.110,-6.596
54,-13.620,-12.635,-10.228
56,-11.352,-15.422,-13.004
58,-9.363,-15.556,-16.835
60,-8.740,-16.875,-19.000
62,-7.520,-17.825,-19.781
64,-3.773,-17.454,-22.757
66,-1.921,-17.879,-23.802
68,-0.803,-16.857,-24.568
70,0.791,-16.479,-25.051
72,3.504,-17.060,-25.049
74,4.951,-16.150,-25.182
76,6.641,-13.512,-23.884
78,9.831,-11.673,-22.309
80,11.764,-10.324,-21.529
82,12.405,-8.692,-19.648
84,13.055,-6.735,-18.134
86,15.730,-4.888,-14.255
88,15.222,-1.537,-12.445
90,16.242,0.227,-9.104
92,17.184,2.594,-6.287
94,16.953,4.631,-3.988
96,18.493,7.100,0.492
98,16.968,10.302,2.675
100,16.084,12.129,6.208
