percent,ankle,knee,hip
0,7.320,19.768,9.316
2,9.589,22.275,10.104
4,10.757,24.308,11.001
6,13.076,25.754,12.229
8,12.768,28.032,13.486
10,14.231,27.805,13.775
12,16.950,28.210,13.465
14,16.598,29.770,12.906
16,17.377,28.521,13.649
18,18.189,27.740,14.274
20,18.163,26.261,13.636
22,17.014,25.175,12.579
24,16.431,22.601,12.591
26,16.231,20.531,11.174
28,15.388,17.900,9.306
30,13.950,14.563,8.728
32,13.618,11.631,7.247
34,11.161,8.542,6.573
36,9.717,4.650,5.084
38,6.470,2.513,2.450
40,6.324,-2.240,0.725
42,4.321,-5.554,-0.254
44,0.872,-9.017,-1.449
46,-1.115,-10.968,-3.735
48,-2.416,-14.804,-5.143
50,-5.155,-17.676,-6.102
52,-6.054,-19.679,-6.749
54,-7.960,-21.594,-9.528
56,-9.323,-24.089,-10.197
58,-11.761,-24.745,-11.199
60,-12.145,-25.904,-10.927
62,-13.528,-26.620,-11.046
64,-14.672,-27.276,-12.553
66,-14.842,-27.420,-11.707
68,-16.396,-25.997,-12.469
70,-16.030,-25.779,-11.084
72,-15.320,-24.153,-11.196
74,-15.313,-21.792,-9.971
76,-13.396,-18.947,-9.821
78,-12.386,-16.066,-7.723
80,-12.867,-13.018,-6.577
82,-10.353,-9.944,-4.715
84,-8.246,-7.905,-4.032
86,-7.065,-3.077,-2.103
88,-4.520,-0.791,-0.920
90,-2.713,4.448,0.625
92,-2.167,6.490,2.005
94,-0.006,10.665,4.996
96,2.710,13.762,5.771
98,4.284,17.368,6.270
100,6.779,19.131,7.797
