percent,ankle,knee,hip
0,10.679,12.461,29.127
2,8.533,11.269,28.206
4,7.746,8.262,26.455
6,6.258,5.984,24.132
8,5.065,4.283,22.071
10,1.445,3.599,19.693
12,0.699,1.943,16.718
14,-0.320,-1.080,14.703
16,-2.160,-3.528,11.520
18,-3.533,-4.883,7.622
20,-5.511,-6.682,5.923
22,-7.014,-8.162,1.868
24,-8.490,-9.949,-1.523
26,-10.016,-11.221,-4.866
28,-11.396,-11.609,-7.866
30,-12.501,-14.151,-12.559
32,-12.023,-14.800,-13.923
34,-12.876,-15.571,-17.985
36,-12.932,-15.004,-20.644
38,-12.873,-15.397,-22.499
40,-12.715,-15.204,-24.809
42,-11.213,-13.385,-24.329
44,-12.039,-12.573,-25.698
46,-11.004,-12.496,-25.711
48,-8.779,-11.809,-25.926
50,-8.930,-9.135,-26.027
52,-5.994,-7.741,-24.768
54,-5.182,-6.491,-24.933
56,-4.258,-4.883,-23.482
58,-2.809,-3.721,-20.737
60,-1.085,-0.115,-19.273
62,1.284,0.061,-16.308
64,4.101,2.784,-12.184
66,5.683,5.284,-9.319
68,5.982,7.089,-6.009
70,8.993,8.555,-2.856
72,10.309,9.496,1.105
74,11.476,12.658,3.531
76,12.857,13.557,7.184
78,12.737,14.882,10.896
80,14.595,14.614,14.214
82,14.111,15.223,17.239
84,14.293,16.865,19.812
86,14.170,17.033,21.573
88,15.152,16.629,23.338
90,14.847,17.524,26.512
92,15.128,16.412,26.985
94,14.042,16.321,29.100
96,13.580,14.071,29.217
98,11.807,12.803,29.684
100,10.736,11.352,28.412
