percent,ankle,knee,hip
0,7.419,23.251,28.329
2,10.019,22.564,27.389
4,12.726,22.838,24.899
6,14.115,20.984,23.236
8,15.089,19.473,21.914
10,15.741,17.431,17.949
12,16.445,13.785,15.415
14,17.507,11.528,14.030
16,19.171,9.844,8.995
18,17.991,7.189,6.850
20,17.766,3.575,3.594
22,17.648,0.175,-0.372
24,17.702,-1.572,-3.381
26,15.680,-4.617,-6.758
28,15.615,-7.958,-11.080
30,15.029,-9.958,-13.209
32,13.407,-12.261,-16.121
34,10.184,-16.314,-18.630
36,9.762,-16.510,-22.039
38,5.869,-19.717,-22.421
40,4.094,-20.360,-24.061
42,3.215,-20.764,-26.103
44,0.531,-22.016,-27.133
46,-1.725,-23.010,-27.649
48,-3.426,-22.939,-25.806
50,-6.984,-22.093,-26.266
52,-8.371,-20.588,-24.217
54,-9.155,-19.645,-22.571
56,-11.956,-17.873,-21.537
58,-12.457,-16.766,-18.968
60,-14.461,-15.225,-16.882
62,-15.919,-12.423,-13.790
64,-14.953,-10.251,-11.042
66,-16.940,-7.336,-7.666
68,-16.642,-4.164,-3.480
70,-17.281,-1.558,-0.991
72,-15.974,0.674,2.890
74,-14.617,3.922,5.205
76,-14.762,6.748,8.518
78,-13.716,9.313,13.159
80,-12.147,11.670,16.448
82,-11.096,14.438,19.117
84,-9.634,16.876,21.885
86,-5.859,19.625,23.917
88,-5.636,20.253,25.769
90,-2.561,22.347,26.372
92,-1.366,24.323,28.900
94,1.709,23.592,27.888
96,4.657,24.831,29.292
98,5.149,25.181,29.381
100,8.799,23.380,28.685
