percent,ankle,knee,hip
0,9.866,15.509,23.119
2,7.724,15.847,25.034
4,6.420,14.713,26.717
6,6.261,14.013,28.077
8,4.993,13.968,27.791
10,3.295,11.988,27.858
12,1.278,12.081,27.737
14,0.866,10.830,26.915
16,-2.100,8.054,25.859
18,-3.888,5.675,24.709
20,-3.904,4.929,21.698
22,-6.035,3.511,19.688
24,-7.728,1.094,17.970
26,-7.582,-1.203,14.295
28,-8.860,-2.720,11.750
30,-9.124,-4.124,7.402
32,-11.425,-6.536,5.159
34,-11.028,-6.853,1.017
36,-11.571,-9.483,-1.491
38,-11.660,-10.441,-6.472
40,-10.906,-10.728,-9.070
42,-11.437,-12.791,-11.225
44,-9.351,-13.000,-15.764
46,-9.187,-12.740,-18.543
48,-8.704,-14.281,-19.605
50,-7.138,-14.580,-22.399
52,-5.764,-13.990,-24.678
54,-4.578,-12.960,-25.869
56,-3.606,-13.522,-25.462
58,-2.996,-12.176,-26.953
60,-0.734,-10.157,-25.872
62,0.871,-8.548,-25.450
64,1.804,-7.982,-24.567
66,2.647,-5.527,-23.861
68,4.345,-5.048,-23.290
70,5.785,-1.984,-20.661
72,8.496,-1.236,-18.291
74,9.242,0.998,-16.049
76,10.709,3.126,-13.127
78,11.894,5.127,-9.933
80,11.401,5.508,-6.747
82,13.186,8.922,-2.273
84,13.212,10.139,0.923
86,12.401,11.831,4.834
88,13.239,13.341,8.430
90,13.921,14.169,11.680
92,12.915,15.334,14.275
94,11.623,15.542,17.737
96,12.030,14.658,19.915
98,10.864,15.759,22.775
100,8.726,16.005,23.726
