percent,ankle,knee,hip
0,10.921,12.328,2.975
2,12.024,10.364,5.096
4,11.607,9.569,6.147
6,13.732,10.008,7.626
8,12.504,7.910,7.931
10,14.008,6.967,9.942
12,12.053,5.243,10.839
14,12.191,5.014,12.832
16,12.814,2.394,13.340
18,11.374,1.672,14.080
20,10.855,-0.030,12.792
22,9.667,-1.586,12.922
24,7.618,-3.287,13.348
26,6.039,-3.658,13.194
28,4.770,-5.859,12.513
30,4.736,-6.065,11.387
32,2.998,-7.323,10.698
34,1.489,-8.768,10.423
36,0.367,-8.895,9.181
38,-0.830,-11.049,7.715
40,-2.356,-9.981,5.917
42,-3.774,-10.357,5.646
44,-6.900,-10.865,4.178
46,-6.679,-9.755,2.309
48,-7.388,-10.332,0.593
50,-9.631,-10.691,-0.895
52,-9.657,-9.351,-3.760
54,-9.994,-7.359,-3.402
56,-11.006,-7.317,-5.111
58,-10.475,-6.561,-6.633
60,-10.242,-5.765,-8.133
62,-11.050,-3.364,-9.526
64,-11.567,-2.362,-10.284
66,-10.569,-1.461,-11.015
68,-8.699,1.443,-12.087
70,-7.983,3.183,-10.522
72,-7.287,3.192,-11.442
74,-5.644,5.518,-11.924
76,-5.823,6.851,-11.753
78,-3.521,6.915,-10.028
80,-3.091,9.312,-10.720
82,0.115,10.954,-9.803
84,0.645,10.716,-7.497
86,1.861,11.148,-8.029
88,4.210,12.194,-5.823
90,5.648,12.767,-3.602
92,6.028,13.179,-3.032
94,8.067,12.246,-2.180
96,9.687,13.265,-0.386
98,9.368,12.674,2.541
100,11.335,11.409,2.275
