percent,ankle,knee,hip
0,22.077,9.471,3.934
2,21.805,7.555,8.333
4,22.318,7.235,10.056
6,21.496,5.083,13.075
8,19.767,5.063,17.325
10,19.373,3.754,20.411
12,16.808,2.257,23.073
14,16.131,1.300,23.462
16,13.949,0.030,25.849
18,12.492,-1.837,27.272
20,9.421,-2.943,29.137
22,7.350,-4.593,29.905
24,3.414,-5.759,29.100
26,0.505,-6.949,28.137
28,-1.079,-6.518,28.710
30,-3.429,-8.874,26.949
32,-7.152,-9.483,25.629
34,-8.548,-9.494,23.759
36,-11.341,-8.977,20.256
38,-13.309,-8.433,17.708
40,-15.049,-8.518,15.470
42,-16.562,-9.945,12.407
44,-18.172,-9.508,8.182
46,-18.150,-8.933,5.542
48,-19.582,-6.664,0.701
50,-19.607,-7.321,-1.103
52,-20.605,-5.491,-6.259
54,-20.586,-4.831,-8.801
56,-18.666,-3.303,-11.693
58,-19.140,-2.495,-15.669
60,-18.005,-0.138,-17.781
62,-16.184,1.080,-19.726
64,-13.374,1.888,-21.448
66,-11.975,2.696,-23.633
68,-10.201,4.189,-25.952
70,-7.695,5.753,-25.565
72,-5.109,7.453,-26.037
74,-1.164,7.873,-26.259
76,-0.113,8.736,-27.249
78,2.883,9.700,-26.292
80,6.014,9.619,-24.214
82,7.504,9.777,-22.695
84,10.598,11.464,-21.035
86,12.281,10.487,-17.809
88,14.517,11.146,-15.605
90,17.680,10.712,-12.328
92,17.745,11.346,-9.020
94,20.118,11.297,-6.398
96,20.387,10.286,-3.121
98,22.118,9.990,0.324
100,22.384,8.886,3.093
