percent,ankle,knee,hip
0,15.048,15.765,27.026
2,18.651,13.286,25.454
4,20.959,12.253,24.977
6,22.715,11.761,22.639
8,24.676,8.519,20.858
10,26.206,7.656,17.337
12,28.059,4.949,16.043
14,28.601,3.763,13.060
16,28.757,1.257,10.887
18,28.909,-0.743,6.624
20,27.939,-2.564,3.079
22,28.500,-3.647,0.902
24,25.867,-6.802,-2.321
26,24.850,-7.385,-6.177
28,23.050,-9.074,-9.844
30,19.916,-11.865,-11.285
32,17.136,-12.124,-15.044
34,14.370,-13.254,-16.483
36,10.029,-15.232,-18.890
38,7.947,-13.955,-21.634
40,3.402,-14.698,-21.967
42,0.389,-14.898,-23.537
44,-3.225,-15.960,-24.894
46,-6.580,-14.915,-23.731
48,-10.016,-14.920,-24.273
50,-13.043,-13.129,-25.052
52,-15.492,-11.415,-23.766
54,-19.653,-10.663,-21.457
56,-20.961,-10.026,-20.600
58,-24.117,-6.423,-18.851
60,-24.384,-4.971,-16.372
62,-25.577,-3.598,-14.110
64,-26.694,-2.119,-10.909
66,-28.183,0.539,-7.975
68,-26.664,2.022,-5.671
70,-27.389,4.885,-2.517
72,-25.546,6.525,0.893
74,-23.874,8.771,4.326
76,-23.281,9.914,7.813
78,-19.915,11.725,10.664
80,-17.571,13.294,14.708
82,-14.356,13.484,16.920
84,-11.289,15.871,19.266
86,-9.175,16.659,20.433
88,-4.748,16.763,22.898
90,-1.103,16.867,24.437
92,1.071,16.644,26.115
94,5.319,16.980,27.220
96,9.685,16.786,26.579
98,12.240,16.535,26.048
100,15.529,15.398,26.145
