percent,ankle,knee,hip
0,14.336,11.179,17.354
2,12.609,14.517,18.250
4,12.666,17.415,19.554
6,11.441,19.493,18.939
8,10.624,22.600,19.841
10,8.890,24.008,19.146
12,8.001,25.929,18.474
14,4.651,28.485,17.524
16,3.814,27.790,15.210
18,2.159,28.403,15.488
20,0.121,29.105,13.780
22,-2.184,29.303,10.396
24,-3.662,28.930,9.312
26,-5.110,27.046,7.068
28,-5.202,26.169,3.962
30,-7.760,22.292,2.080
32,-8.114,21.393,-0.196
34,-10.214,18.141,-3.025
36,-11.877,14.985,-4.125
38,-12.461,11.386,-6.539
40,-12.693,8.882,-7.925
42,-12.297,4.832,-10.750
44,-13.192,1.295,-12.545
46,-12.047,-1.163,-14.813
48,-12.594,-5.252,-15.810
50,-12.401,-9.633,-16.928
52,-11.640,-12.534,-16.208
54,-9.712,-14.397,-16.536
56,-9.090,-17.595,-17.314
58,-8.661,-20.923,-16.386
60,-7.425,-21.941,-17.838
62,-4.751,-24.323,-16.247
64,-3.842,-25.782,-15.028
66,-2.491,-26.223,-13.847
68,0.337,-28.102,-13.515
70,1.924,-27.505,-11.008
72,3.724,-26.314,-9.966
74,4.496,-25.931,-7.731
76,6.848,-25.803,-4.653
78,7.565,-23.398,-1.905
80,9.599,-21.906,-0.203
82,9.793,-19.411,1.843
84,12.762,-17.090,4.182
86,13.714,-13.785,6.331
88,13.329,-10.023,9.455
90,13.343,-7.081,11.335
92,14.033,-4.029,13.006
94,15.051,0.919,14.732
96,14.114,3.303,15.006
98,14.132,8.475,16.562
100,14.690,11.092,17.334
