percent,ankle,knee,hip
0,11.747,12.413,11.057
2,14.104,11.287,12.083
4,16.797,10.981,10.836
6,20.796,10.442,10.298
8,23.003,9.618,9.828
10,24.943,7.408,9.653
12,25.770,6.512,8.144
14,27.581,5.024,8.236
16,28.675,4.662,6.190
18,28.278,2.209,5.562
20,29.276,0.799,4.306
22,28.842,0.545,1.552
24,27.509,-0.809,1.878
26,24.666,-2.398,0.370
28,24.133,-4.005,-1.843
30,21.296,-5.641,-2.481
32,18.731,-5.789,-4.344
34,16.853,-6.730,-5.252
36,13.901,-7.442,-5.675
38,10.608,-8.902,-6.801
40,6.650,-8.390,-7.581
42,3.453,-10.340,-9.075
44,-0.030,-9.114,-9.687
46,-3.973,-10.226,-8.678
48,-7.207,-9.263,-9.099
50,-9.387,-10.606,-10.302
52,-13.386,-10.197,-9.129
54,-16.357,-9.082,-9.070
56,-18.903,-7.569,-9.098
58,-20.507,-6.925,-8.954
60,-23.089,-6.104,-7.206
62,-23.255,-4.506,-5.368
64,-25.181,-3.664,-4.567
66,-25.989,-2.713,-5.154
68,-26.649,-1.465,-3.504
70,-25.463,0.505,-2.550
72,-24.946,0.790,-1.110
74,-25.068,3.159,0.115
76,-24.441,4.272,2.298
78,-22.576,4.813,4.416
80,-19.482,7.410,5.192
82,-18.301,8.048,5.450
84,-14.419,10.009,8.070
86,-11.113,9.507,8.036
88,-8.023,11.680,9.374
90,-5.556,11.550,9.729
92,-1.438,11.028,10.441
94,2.179,12.859,12.018
96,4.443,11.916,11.017
98,9.335,12.212,11.507
100,11.245,11.036,11.761
