percent,ankle,knee,hip
0,16.261,8.324,14.996
2,18.391,7.347,17.190
4,18.311,6.623,16.269
6,19.734,5.294,17.514
8,22.047,3.427,16.515
10,22.445,2.898,15.396
12,22.960,1.233,14.573
14,22.458,-0.112,13.768
16,22.076,-1.331,11.837
18,21.148,-2.740,11.273
20,20.471,-4.509,10.310
22,17.873,-5.000,8.434
24,16.831,-5.329,5.993
26,16.042,-6.851,5.203
28,13.023,-7.134,2.311
30,11.920,-9.761,-0.253
32,8.115,-8.779,-1.258
34,5.194,-9.276,-3.657
36,3.563,-9.780,-5.239
38,0.150,-10.519,-5.902
40,-2.450,-9.979,-8.178
42,-4.617,-10.482,-9.473
44,-7.414,-8.371,-11.535
46,-8.957,-7.953,-13.245
48,-11.886,-8.385,-12.660
50,-14.593,-6.914,-13.201
52,-14.948,-6.469,-13.538
54,-16.147,-4.328,-14.830
56,-17.812,-4.442,-15.287
58,-20.124,-2.607,-13.407
60,-20.177,-0.875,-13.745
62,-19.340,0.768,-13.293
64,-19.460,2.137,-12.678
66,-19.801,3.103,-11.682
68,-18.659,4.559,-9.316
70,-18.446,5.818,-8.779
72,-15.983,7.813,-7.110
74,-15.588,8.853,-4.303
76,-13.512,9.161,-2.130
78,-11.994,9.337,-0.286
80,-9.916,9.856,2.100
82,-7.410,12.003,2.983
84,-3.289,12.592,4.446
86,-1.776,11.456,6.992
88,0.270,12.372,8.086
90,3.604,12.125,10.359
92,5.768,10.941,11.393
94,8.272,10.710,12.638
96,12.277,11.125,13.734
98,13.982,9.843,15.134
100,16.220,9.520,15.017
