percent,ankle,knee,hip
0,18.194,18.055,19.420
2,17.091,15.183,15.409
4,15.334,12.360,13.004
6,13.528,8.770,9.341
8,10.029,5.022,7.168
10,8.390,2.302,3.126
12,5.277,-2.359,-0.472
14,3.182,-4.380,-3.833
16,0.110,-8.935,-5.709
18,-3.244,-11.824,-9.887
20,-5.635,-14.704,-13.316
22,-8.488,-17.011,-14.945
24,-10.950,-19.449,-18.717
26,-13.772,-22.819,-20.830
28,-15.340,-24.311,-21.995
30,-16.154,-24.305,-22.831
32,-17.879,-25.030,-25.149
34,-20.533,-26.866,-26.413
36,-19.631,-27.582,-25.884
38,-20.959,-26.616,-26.403
40,-21.414,-24.735,-24.477
42,-21.435,-25.246,-24.082
44,-20.189,-23.666,-23.396
46,-19.476,-21.960,-20.858
48,-18.671,-19.107,-18.717
50,-16.497,-15.584,-16.082
52,-14.548,-12.931,-15.286
54,-12.459,-9.796,-10.653
56,-10.570,-7.693,-7.720
58,-9.491,-3.654,-4.628
60,-6.011,0.256,-2.206
62,-3.194,4.114,0.890
64,-1.123,6.310,4.110
66,3.058,9.945,8.418
68,5.747,13.641,10.781
70,7.832,16.544,13.931
72,11.104,18.458,17.129
74,12.484,21.268,19.703
76,14.656,23.584,21.412
78,16.253,25.229,23.974
80,19.049,26.612,26.049
82,19.805,27.932,26.306
84,22.581,27.860,27.927
86,22.435,27.931,27.884
88,22.454,28.626,27.354
90,24.165,26.653,27.658
92,22.595,25.793,25.447
94,22.240,24.430,25.360
96,22.703,22.537,24.064
98,19.995,21.524,21.973
100,18.865,18.879,19.021
