percent,ankle,knee,hip
0,15.017,11.811,20.871
2,15.464,13.353,20.453
4,16.974,13.571,19.154
6,18.378,14.783,17.066
8,18.088,15.022,15.636
10,18.893,16.764,14.012
12,17.157,16.057,13.866
14,16.771,17.034,12.066
16,17.864,15.006,9.758
18,16.806,16.131,6.430
20,14.850,15.675,4.637
22,12.316,14.050,1.732
24,10.908,13.103,-0.908
26,8.861,11.286,-2.860
28,7.438,10.208,-5.436
30,6.790,8.480,-7.060
32,4.161,7.621,-9.577
34,2.472,4.124,-11.331
36,0.043,3.487,-13.871
38,-2.828,0.275,-14.805
40,-5.160,-0.759,-16.714
42,-7.550,-2.714,-17.958
44,-9.594,-4.281,-17.504
46,-9.652,-5.632,-18.490
48,-12.537,-8.622,-19.378
50,-14.194,-9.833,-17.767
52,-14.834,-9.722,-16.844
54,-14.535,-11.905,-16.079
56,-16.368,-13.390,-15.025
58,-16.328,-13.981,-15.030
60,-17.125,-14.556,-13.574
62,-15.680,-14.635,-11.222
64,-15.265,-14.825,-8.887
66,-15.065,-13.623,-7.336
68,-13.357,-13.192,-4.796
70,-12.696,-13.716,-2.582
72,-12.065,-11.992,0.133
74,-9.367,-9.999,3.076
76,-7.591,-9.065,5.934
78,-6.482,-7.899,6.937
80,-3.210,-6.764,9.966
82,-2.462,-3.909,10.844
84,0.585,-2.797,12.960
86,1.634,-1.318,14.756
88,4.619,1.599,16.433
90,6.721,2.914,18.309
92,9.684,5.070,18.944
94,10.055,6.173,20.489
96,13.381,7.745,19.807
98,13.005,8.748,21.103
100,15.836,11.204,20.121
