percent,ankle,knee,hip
0,4.185,8.351,12.551
2,5.332,11.147,10.940
4,8.975,14.887,11.708
6,10.239,16.160,9.684
8,12.951,18.942,10.178
10,13.611,21.703,7.970
12,16.151,23.369,7.069
14,17.489,26.388,5.694
16,18.234,26.521,4.413
18,20.080,28.209,3.127
20,20.207,27.630,1.797
22,20.303,27.708,0.365
24,21.223,27.074,-0.658
26,20.778,26.238,-2.806
28,18.330,25.439,-3.110
30,18.406,24.374,-5.287
32,17.595,21.744,-6.140
34,16.380,19.468,-6.845
36,14.941,17.994,-7.148
38,12.301,14.201,-8.253
40,9.570,10.377,-8.230
42,8.468,7.102,-9.824
44,4.763,4.623,-10.635
46,2.684,1.106,-9.874
48,0.277,-1.463,-10.243
50,-1.791,-4.807,-9.306
52,-3.333,-8.555,-10.389
54,-6.712,-11.212,-8.464
56,-9.047,-15.451,-8.807
58,-10.228,-18.157,-6.384
60,-12.487,-19.332,-5.774
62,-15.097,-21.431,-4.725
64,-14.955,-23.494,-4.031
66,-16.938,-25.738,-2.581
68,-17.001,-26.500,-2.321
70,-18.422,-26.067,-0.732
72,-18.730,-26.044,1.256
74,-18.099,-24.982,2.718
76,-18.822,-25.606,3.953
78,-18.202,-23.012,4.856
80,-16.906,-22.270,5.462
82,-15.031,-19.877,8.388
84,-14.538,-17.111,7.677
86,-11.102,-14.239,9.029
88,-9.824,-12.402,9.489
90,-8.011,-8.771,11.658
92,-6.326,-5.357,12.152
94,-2.952,-3.443,12.312
96,-0.185,1.538,11.883
98,1.902,4.213,11.295
100,3.979,8.089,12.250
