percent,ankle,knee,hip
0,23.942,4.608,4.112
2,24.716,8.000,5.228
4,26.889,11.111,8.113
6,27.990,13.019,10.702
8,29.313,15.043,14.460
10,29.587,17.891,15.824
12,29.908,19.911,17.625
14,29.166,20.172,20.097
16,28.026,21.722,22.305
18,26.006,22.719,21.881
20,25.225,22.934,24.512
22,23.094,23.394,24.724
24,20.010,24.437,23.298
26,17.013,23.895,23.821
28,14.403,21.633,22.568
30,10.594,20.441,22.476
32,7.822,19.810,20.140
34,5.189,18.130,19.961
36,1.413,16.703,17.129
38,-3.904,14.065,14.125
40,-6.721,11.163,11.991
42,-9.630,7.879,10.561
44,-13.188,6.554,7.864
46,-15.500,3.740,4.922
48,-18.386,0.913,0.859
50,-22.048,-2.709,-2.003
52,-24.384,-6.336,-4.756
54,-25.138,-8.722,-6.964
56,-25.544,-11.443,-10.294
58,-26.504,-13.017,-12.616
60,-28.259,-14.379,-14.906
62,-27.613,-17.371,-16.791
64,-28.093,-17.791,-18.921
66,-26.625,-20.420,-20.399
68,-25.229,-21.766,-19.915
70,-23.202,-20.929,-20.646
72,-21.177,-21.926,-21.667
74,-19.249,-22.498,-21.433
76,-16.039,-21.108,-21.793
78,-11.961,-21.069,-20.658
80,-9.235,-19.437,-19.573
82,-6.501,-17.052,-18.743
84,-2.034,-15.087,-18.013
86,2.054,-13.946,-14.560
88,4.324,-10.851,-13.894
90,9.362,-10.117,-11.055
92,12.771,-6.121,-8.764
94,15.987,-3.263,-4.412
96,17.347,-0.235,-1.868
98,21.383,2.232,1.051
100,23.813,4.471,3.981
