percent,ankle,knee,hip
0,8.730,21.472,12.720
2,11.486,23.725,15.555
4,12.200,25.022,19.413
6,14.926,26.793,20.940
8,15.537,27.521,24.824
10,18.196,26.855,26.180
12,18.249,28.271,27.760
14,20.374,26.978,29.115
16,19.294,25.693,28.215
18,20.299,24.101,28.651
20,21.107,23.221,28.157
22,19.843,21.976,28.781
24,19.274,17.746,27.918
26,17.364,15.983,26.003
28,16.340,13.164,24.187
30,16.130,9.781,21.221
32,13.533,5.909,19.445
34,12.403,4.166,16.175
36,9.431,0.734,13.001
38,7.069,-3.568,9.797
40,5.318,-6.826,5.300
42,2.115,-9.748,2.751
44,-0.028,-12.679,-1.751
46,-3.100,-14.706,-3.522
48,-3.785,-16.890,-8.580
50,-7.382,-19.880,-11.929
52,-9.174,-21.859,-15.200
54,-11.592,-22.922,-16.210
56,-12.210,-25.331,-19.059
58,-15.149,-26.130,-22.894
60,-15.149,-26.348,-23.465
62,-15.769,-25.561,-26.096
64,-16.739,-25.022,-26.433
66,-17.833,-23.961,-26.916
68,-18.586,-22.990,-26.373
70,-19.137,-21.659,-27.185
72,-18.410,-19.547,-25.588
74,-16.506,-17.557,-25.938
76,-16.084,-14.467,-23.350
78,-15.610,-11.689,-22.263
80,-13.973,-8.511,-19.693
82,-12.306,-4.013,-16.795
84,-10.271,-2.356,-14.378
86,-8.295,1.839,-10.862
88,-4.466,5.581,-6.575
90,-2.679,8.750,-4.219
92,-0.086,12.237,-0.962
94,2.079,15.135,3.218
96,3.949,17.510,5.553
98,7.172,20.127,10.823
100,8.634,22.072,12.385
