percent,ankle,knee,hip
0,1.793,10.698,18.060
2,2.258,12.136,15.740
4,4.880,13.871,12.795
6,6.643,15.708,9.187
8,7.415,17.083,5.581
10,7.456,19.340,2.364
12,8.526,18.662,0.030
14,8.799,20.304,-3.856
16,10.530,20.655,-7.084
18,10.926,21.347,-10.861
20,10.417,20.546,-13.166
22,11.596,19.070,-15.148
24,11.468,18.102,-17.841
26,10.839,17.386,-19.070
28,10.258,16.055,-21.203
30,9.684,14.217,-22.730
32,9.639,13.320,-24.748
34,9.382,11.389,-25.445
36,7.476,9.234,-25.934
38,7.393,7.088,-24.593
40,6.127,4.190,-24.339
42,4.642,0.787,-23.994
44,3.435,-1.015,-21.731
46,3.222,-4.125,-20.706
48,2.344,-6.447,-18.232
50,-0.853,-8.251,-14.557
52,-1.418,-9.776,-13.559
54,-2.843,-12.550,-10.457
56,-2.990,-14.100,-6.091
58,-4.916,-14.675,-4.303
60,-6.012,-16.628,-0.635
62,-6.725,-18.072,3.502
64,-7.362,-19.083,6.428
66,-8.726,-18.574,9.409
68,-9.315,-17.765,11.533
70,-8.377,-19.231,15.420
72,-9.977,-17.671,18.253
74,-9.825,-16.715,18.978
76,-9.131,-15.501,21.204
78,-8.579,-14.151,23.361
80,-9.167,-12.635,24.170
82,-8.543,-11.204,25.891
84,-7.506,-8.345,26.160
86,-6.485,-7.683,27.106
88,-4.976,-4.017,27.023
90,-5.316,-2.858,26.564
92,-2.462,1.241,24.187
94,-1.295,2.220,23.110
96,-0.551,6.158,22.955
98,-0.021,6.734,20.022
100,1.240,10.670,16.557
