percent,ankle,knee,hip
0,23.265,18.466,6.257
2,22.201,20.050,6.917
4,22.047,20.926,9.307
6,20.492,19.431,9.354
8,20.027,20.434,10.816
10,19.336,19.139,11.312
12,17.341,18.048,12.612
14,13.897,16.577,12.578
16,11.838,15.002,13.859
18,10.825,13.635,13.106
20,6.941,11.704,13.112
22,5.208,8.862,13.745
24,1.581,6.439,11.629
26,0.218,4.264,11.528
28,-2.276,1.459,11.359
30,-5.867,-0.034,10.109
32,-8.970,-2.670,8.649
34,-10.699,-4.691,7.135
36,-12.008,-7.263,4.970
38,-13.952,-8.654,5.122
40,-16.326,-10.581,3.007
42,-17.112,-13.351,0.555
44,-19.729,-14.038,0.216
46,-20.943,-14.914,-2.081
48,-20.962,-16.326,-2.476
50,-20.111,-17.153,-4.199
52,-21.022,-18.214,-6.798
54,-20.305,-17.145,-6.230
56,-18.945,-17.302,-8.430
58,-18.902,-16.511,-8.706
60,-16.606,-15.920,-10.158
62,-14.797,-16.259,-10.859
64,-13.331,-13.459,-11.936
66,-9.841,-13.021,-11.835
68,-7.310,-10.679,-11.970
70,-6.452,-8.967,-10.498
72,-3.527,-6.728,-10.266
74,0.744,-4.832,-10.118
76,2.261,-2.955,-10.448
78,4.840,-0.410,-7.710
80,7.565,2.421,-8.204
82,9.916,3.950,-6.463
84,12.458,6.292,-6.101
86,15.202,9.523,-3.839
88,16.286,11.024,-1.918
90,18.335,12.373,-1.293
92,20.951,13.825,0.947
94,20.606,16.270,3.118
96,22.976,18.409,3.674
98,22.849,18.724,4.657
100,21.716,19.163,5.628
