percent,ankle,knee,hip
0,22.063,5.904,21.253
2,23.330,7.940,18.787
4,24.722,8.239,16.345
6,26.476,10.712,14.468
8,28.697,12.529,10.607
10,28.342,12.663,9.023
12,29.192,13.931,4.716
14,27.863,14.699,2.174
16,29.006,15.646,-0.803
18,26.162,16.374,-4.276
20,26.399,16.345,-7.822
22,23.929,16.909,-9.863
24,22.305,15.743,-13.896
26,18.480,14.411,-14.585
28,15.678,14.485,-17.146
30,12.301,14.069,-19.808
32,9.724,11.682,-20.763
34,6.195,11.761,-23.532
36,3.839,10.042,-24.462
38,-0.417,7.056,-23.745
40,-3.519,6.283,-24.894
42,-7.696,4.443,-24.921
44,-9.900,2.216,-23.501
46,-14.107,0.933,-21.860
48,-16.341,-1.227,-21.418
50,-20.032,-3.035,-19.635
52,-21.709,-4.782,-17.203
54,-22.999,-7.499,-15.026
56,-25.393,-9.441,-12.951
58,-25.277,-10.142,-9.723
60,-27.318,-11.637,-6.753
62,-28.005,-12.354,-3.234
64,-26.920,-12.489,-0.434
66,-26.482,-14.536,2.379
68,-24.441,-14.980,5.818
70,-22.883,-13.455,9.582
72,-21.373,-14.097,11.727
74,-20.035,-13.100,14.700
76,-17.019,-12.870,17.705
78,-15.110,-12.316,19.978
80,-11.342,-10.730,22.263
82,-7.160,-10.645,23.723
84,-4.945,-8.977,24.178
86,-0.094,-7.330,24.868
88,1.976,-5.547,25.818
90,6.607,-3.690,26.639
92,9.157,-1.960,25.636
94,12.286,-0.494,24.765
96,16.219,2.194,24.540
98,18.013,4.178,22.810
100,21.094,5.348,20.436
