percent,ankle,knee,hip
0,25.155,3.551,11.581
2,25.113,5.781,13.206
4,24.758,9.388,14.756
6,22.557,12.489,16.137
8,19.888,14.698,18.951
10,18.254,17.744,19.777
12,15.217,19.998,19.260
14,13.400,21.783,20.572
16,9.050,21.803,20.161
18,7.380,23.546,20.193
20,4.242,25.530,20.045
22,0.218,24.629,20.084
24,-2.189,24.564,18.677
26,-6.367,24.841,18.086
28,-8.810,24.059,15.579
30,-12.180,23.740,14.739
32,-13.987,22.038,12.958
34,-15.641,20.280,11.156
36,-19.635,18.411,7.382
38,-20.375,16.338,4.980
40,-22.490,14.381,3.218
42,-22.229,10.583,1.382
44,-23.249,7.813,-1.307
46,-23.940,5.510,-3.834
48,-23.600,2.652,-7.269
50,-22.866,-1.039,-8.873
52,-23.444,-3.535,-10.393
54,-20.989,-7.476,-13.248
56,-20.162,-10.133,-14.638
58,-19.268,-11.909,-15.887
60,-15.851,-14.095,-16.852
62,-14.179,-16.734,-17.012
64,-9.945,-19.703,-18.187
66,-8.325,-21.523,-18.009
68,-4.215,-22.704,-18.880
70,-1.988,-23.261,-18.332
72,1.599,-23.044,-16.777
74,4.352,-22.519,-16.540
76,7.602,-22.571,-15.944
78,10.289,-21.796,-14.482
80,13.209,-20.765,-12.958
82,17.132,-19.657,-10.710
84,18.253,-18.987,-8.723
86,20.995,-16.840,-5.410
88,22.066,-14.656,-2.825
90,24.267,-10.744,-0.747
92,25.693,-8.599,0.718
94,25.677,-5.186,4.621
96,25.826,-2.498,6.985
98,26.422,0.567,8.336
100,26.147,3.012,10.367
