percent,ankle,knee,hip
0,22.244,25.379,22.511
2,20.974,23.811,24.768
4,17.927,22.502,24.784
6,13.779,19.261,25.694
8,10.119,16.539,26.556
10,7.056,15.346,25.954
12,3.293,12.581,25.196
14,-1.176,10.259,23.602
16,-3.983,6.352,23.352
18,-6.896,3.686,22.560
20,-11.504,-0.676,19.228
22,-13.779,-3.361,16.894
24,-17.071,-6.403,14.564
26,-21.018,-8.562,12.958
28,-22.383,-12.019,9.792
30,-24.921,-13.604,6.640
32,-25.205,-17.012,3.061
34,-26.949,-18.511,0.375
36,-27.131,-20.157,-2.944
38,-28.367,-22.407,-7.286
40,-28.673,-23.206,-10.119
42,-26.751,-23.515,-12.871
44,-26.174,-23.619,-14.914
46,-24.821,-23.966,-16.033
48,-22.106,-23.904,-19.353
50,-20.423,-22.132,-20.412
52,-17.541,-20.460,-22.041
54,-14.581,-19.505,-24.008
56,-12.703,-17.157,-24.646
58,-9.490,-15.073,-23.787
60,-5.505,-12.064,-24.877
62,-2.035,-9.393,-22.829
64,1.827,-8.009,-21.997
66,7.026,-4.269,-22.104
68,9.653,-1.563,-20.594
70,13.596,2.273,-18.033
72,16.090,4.143,-15.078
74,19.578,7.370,-12.414
76,22.963,11.153,-10.461
78,24.827,13.863,-6.965
80,25.741,16.266,-3.618
82,28.907,17.929,-1.255
84,29.479,21.783,1.849
86,30.782,23.056,4.995
88,30.066,24.487,7.444
90,29.839,24.266,11.666
92,28.894,26.306,13.980
94,28.899,26.327,15.871
96,26.681,25.167,18.369
98,25.583,25.054,20.844
100,23.106,25.294,23.217
