percent,ankle,knee,hip
0,1.602,23.165,5.767
2,4.591,23.626,9.346
4,5.976,23.623,11.864
6,9.488,24.597,16.071
8,11.598,23.929,18.409
10,14.027,22.297,21.331
12,15.164,21.854,23.481
14,15.995,20.563,24.960
16,17.918,18.544,25.534
18,20.279,17.649,27.937
20,21.175,15.929,27.076
22,20.279,12.612,27.706
24,20.505,9.774,27.064
26,20.756,7.358,27.753
28,21.872,4.968,25.127
30,19.715,2.278,24.517
32,19.028,-1.904,22.628
34,17.269,-3.302,20.695
36,15.706,-7.776,18.611
38,14.294,-9.565,15.265
40,12.238,-11.218,11.638
42,11.475,-13.657,9.295
44,7.217,-16.224,6.533
46,5.045,-18.321,2.119
48,2.991,-19.385,-0.997
50,0.916,-21.216,-4.683
52,-1.414,-21.759,-7.274
54,-5.121,-22.347,-10.575
56,-7.222,-22.986,-13.255
58,-9.909,-22.690,-16.226
60,-11.405,-21.038,-19.409
62,-12.517,-19.412,-21.267
64,-14.719,-18.936,-23.004
66,-16.154,-16.665,-23.675
68,-17.015,-15.959,-25.097
70,-19.375,-12.992,-25.703
72,-20.054,-9.863,-26.610
74,-20.134,-8.378,-25.435
76,-20.133,-4.653,-25.012
78,-18.157,-3.196,-23.536
80,-18.250,1.204,-22.952
82,-18.165,2.848,-20.394
84,-15.671,5.405,-17.779
86,-13.953,9.011,-15.960
88,-13.488,10.987,-13.068
90,-10.486,13.498,-10.177
92,-7.672,16.921,-7.927
94,-6.388,18.484,-3.437
96,-4.119,20.888,-0.500
98,-1.810,20.818,2.395
100,0.625,22.739,5.404
