percent,ankle,knee,hip
0,20.154,10.558,10.171
2,19.925,12.119,14.025
4,18.770,12.512,15.493
6,18.494,14.158,18.681
8,16.600,15.196,20.821
10,16.114,16.395,21.752
12,14.853,16.592,23.636
14,12.010,16.020,25.102
16,11.413,17.352,24.775
18,8.051,16.467,24.870
20,6.283,15.478,25.950
22,3.121,16.406,25.222
24,0.662,15.725,23.543
26,-0.680,13.836,22.055
28,-2.474,11.798,20.218
30,-6.519,11.928,19.515
32,-7.842,9.217,17.450
34,-8.997,8.612,14.583
36,-12.219,5.070,12.572
38,-13.564,4.156,9.251
40,-13.934,1.662,5.345
42,-16.382,0.466,3.046
44,-17.609,-2.336,-1.098
46,-16.763,-3.233,-3.098
48,-18.749,-5.125,-5.353
50,-18.507,-7.919,-8.732
52,-17.392,-10.054,-11.904
54,-16.822,-11.132,-13.718
56,-16.031,-12.725,-17.561
58,-14.429,-12.204,-18.890
60,-14.765,-14.809,-20.680
62,-13.202,-13.833,-21.743
64,-10.212,-14.937,-23.636
66,-8.161,-14.897,-23.932
68,-7.075,-14.392,-23.336
70,-4.825,-13.928,-22.658
72,-2.129,-14.342,-23.558
74,-0.042,-12.393,-21.820
76,3.306,-11.779,-21.358
78,5.980,-10.266,-19.319
80,7.358,-9.114,-16.419
82,9.731,-6.911,-15.414
84,11.644,-5.793,-11.888
86,13.695,-3.358,-10.257
88,16.156,-1.834,-7.035
90,16.800,-0.608,-3.277
92,18.066,1.982,-0.363
94,19.076,3.942,1.517
96,18.910,5.938,5.715
98,20.559,7.381,8.933
100,19.815,10.493,10.394
