percent,ankle,knee,hip
0,12.325,27.907,15.476
2,11.370,29.462,16.667
4,12.639,27.460,15.128
6,14.090,28.139,16.583
8,13.986,25.614,15.536
10,14.891,24.569,13.752
12,13.925,23.355,12.453
14,13.112,19.348,12.480
16,13.066,18.289,10.560
18,13.813,15.025,8.590
20,11.665,11.385,6.080
22,10.373,8.753,3.812
24,10.255,6.034,2.173
26,8.705,0.804,0.985
28,7.882,-1.175,-0.350
30,6.231,-5.913,-2.099
32,5.095,-8.659,-4.410
34,2.319,-12.549,-6.758
36,0.361,-13.988,-8.000
38,-1.594,-16.427,-10.156
40,-1.841,-19.543,-11.688
42,-4.785,-21.746,-12.513
44,-6.212,-24.561,-12.583
46,-7.487,-25.727,-12.809
48,-7.737,-26.613,-13.363
50,-9.503,-25.693,-14.588
52,-10.093,-26.363,-14.813
54,-11.718,-26.632,-15.086
56,-10.991,-25.686,-13.869
58,-11.721,-24.602,-13.860
60,-12.206,-23.093,-11.589
62,-13.010,-21.257,-10.301
64,-11.452,-17.754,-9.855
66,-11.209,-16.342,-7.437
68,-11.147,-12.369,-5.860
70,-10.306,-9.008,-5.328
72,-8.965,-5.934,-3.103
74,-8.592,-3.906,-1.377
76,-6.014,-0.572,0.285
78,-5.841,4.053,3.067
80,-3.760,7.577,4.552
82,-2.060,9.743,6.102
84,-1.457,14.564,7.556
86,0.377,16.408,9.884
88,2.612,19.775,12.121
90,3.868,21.650,13.760
92,6.123,23.393,13.958
94,7.816,26.023,14.188
96,9.661,26.549,16.531
98,11.080,28.190,15.841
100,10.518,28.979,16.694
