percent,ankle,knee,hip
0,0.765,20.297,0.673
2,2.502,20.964,3.428
4,4.457,24.763,4.448
6,5.645,25.966,5.386
8,7.854,26.601,6.588
10,8.799,27.755,8.137
12,11.463,27.010,10.612
14,12.937,27.129,10.389
16,12.912,26.490,12.130
18,14.760,25.702,11.544
20,14.280,23.976,13.598
22,14.200,23.831,13.767
24,14.806,21.757,13.684
26,15.578,18.468,13.870
28,14.699,15.075,13.402
30,13.549,13.715,12.921
32,13.119,9.219,12.105
34,12.784,6.589,11.090
36,12.506,3.504,9.782
38,11.385,0.591,9.831
40,8.569,-2.690,7.537
42,8.573,-6.094,7.445
44,5.158,-9.803,5.060
46,4.460,-12.586,3.546
48,2.243,-14.868,2.103
50,-0.024,-18.430,0.729
52,-1.319,-19.227,-0.173
54,-1.766,-21.653,-1.420
56,-3.986,-23.292,-3.680
58,-6.641,-23.569,-5.509
60,-7.363,-25.033,-6.248
62,-8.908,-25.525,-7.253
64,-9.679,-25.592,-9.602
66,-10.707,-25.728,-9.001
68,-12.418,-24.023,-10.259
70,-12.256,-21.954,-10.722
72,-12.087,-21.649,-11.890
74,-13.493,-19.132,-11.533
76,-12.172,-17.527,-11.993
78,-12.566,-14.913,-11.036
80,-13.390,-10.923,-11.380
82,-12.039,-8.218,-9.794
84,-10.942,-4.946,-10.337
86,-9.209,-1.086,-9.322
88,-8.735,1.100,-8.358
90,-7.805,4.908,-5.577
92,-5.190,7.548,-5.820
94,-4.582,11.140,-3.991
96,-3.085,14.311,-1.400
98,-1.419,16.777,0.406
100,1.862,18.959,0.529
