percent,ankle,knee,hip
0,9.440,12.956,1.565
2,11.606,13.755,3.544
4,12.901,14.593,6.445
6,15.145,16.575,8.307
8,17.194,17.399,10.367
10,17.120,16.888,10.989
12,17.428,16.622,13.949
14,18.680,15.926,15.167
16,18.954,16.533,15.117
18,18.742,15.288,15.519
20,18.625,15.356,16.694
22,17.609,12.249,16.491
24,15.858,12.593,17.608
26,14.768,9.361,17.151
28,14.807,9.434,17.071
30,12.268,7.042,16.743
32,11.125,5.822,14.290
34,8.701,3.373,13.192
36,6.044,0.963,13.148
38,4.668,-0.802,11.614
40,1.440,-2.759,9.844
42,-0.232,-5.897,6.806
44,-2.947,-6.949,5.609
46,-3.462,-7.651,4.192
48,-6.306,-9.456,2.422
50,-8.110,-10.869,-0.261
52,-9.221,-11.942,-2.748
54,-12.338,-13.720,-3.718
56,-12.789,-14.189,-6.929
58,-13.611,-14.095,-7.101
60,-15.911,-14.971,-10.122
62,-16.393,-14.915,-10.260
64,-16.786,-14.156,-12.023
66,-16.574,-13.782,-12.833
68,-16.821,-13.591,-13.951
70,-16.158,-11.712,-14.942
72,-14.677,-10.904,-14.703
74,-14.546,-9.354,-14.793
76,-12.900,-9.207,-14.758
78,-11.975,-6.090,-15.583
80,-10.866,-4.524,-13.900
82,-9.129,-3.228,-12.347
84,-6.109,-1.849,-12.702
86,-4.172,0.519,-9.949
88,-2.723,2.949,-8.594
90,0.641,5.051,-6.913
92,1.915,6.703,-6.415
94,3.748,9.050,-2.803
96,6.687,10.276,-2.640
98,7.711,12.606,0.451
100,9.796,12.973,1.933
