percent,ankle,knee,hip
0,17.101,13.984,24.638
2,17.381,17.802,21.510
4,16.956,20.087,19.501
6,17.259,21.693,16.286
8,18.118,23.933,13.464
10,16.671,25.092,10.067
12,15.961,27.144,6.418
14,14.037,26.879,3.396
16,13.206,27.717,-1.015
18,11.340,27.958,-3.627
20,9.729,27.290,-7.468
22,7.937,25.418,-11.225
24,5.054,24.963,-13.213
26,3.661,23.995,-16.988
28,0.751,21.165,-19.556
30,-1.786,19.591,-20.618
32,-2.547,17.090,-24.390
34,-4.059,12.705,-25.634
36,-6.296,11.090,-27.132
38,-8.655,7.143,-26.726
40,-10.628,2.816,-26.785
42,-11.127,0.499,-26.898
44,-13.273,-4.054,-26.248
46,-14.056,-6.509,-25.178
48,-15.870,-9.531,-23.932
50,-14.740,-13.137,-22.254
52,-16.271,-15.310,-19.104
54,-16.831,-16.972,-16.659
56,-14.678,-20.065,-14.984
58,-14.514,-22.544,-10.439
60,-15.228,-23.708,-7.907
62,-14.385,-25.107,-4.059
64,-12.619,-24.971,-1.160
66,-10.230,-24.880,2.100
68,-9.690,-24.813,5.910
70,-6.524,-25.186,8.870
72,-4.724,-23.719,13.244
74,-4.413,-21.924,15.511
76,-1.420,-20.902,18.236
78,1.301,-19.448,21.574
80,3.854,-15.784,23.154
82,4.500,-14.960,24.920
84,6.708,-10.951,26.378
86,9.188,-7.505,28.569
88,11.691,-4.777,29.340
90,11.641,-1.827,29.067
92,14.835,1.085,28.684
94,15.354,4.862,29.253
96,15.961,8.475,26.954
98,16.683,12.096,26.776
100,18.333,14.849,24.177
